IDENTIFICACION,TIPO_IDENTIFICACION,PRIMER_NOMBRE,SEGUNDO_NOMBRE,PRIMER_APELLIDO,SEGUNDO_APELLIDO,DIRECCION,CELULAR,CIUDAD,SALARIO
3810614548,CC,ELKIN,ALCIDES,ZAPATA,CASTANO,CL 63 129 A 78 COMERCILA SAN CRISTOBAL PLZ C,3515976322,MEDELLIN,4075234
9629460705,CC,LUIS,ENRIQUE,LOPEZ,LOAIZA,KR 21 22 Y 23 PLZ BOLIVAR,3565934480,MANIZALES,3438711
8657676952,CC,RODRIGO,,VILLESCAS,,CL 17 21 16 ALM LA BROCHA,3802083830,MANIZALES,1482256
2122145505,CC,JOSE,JESUS,RINCON,OSPINA,KR 33 29 B 21 BAJO CERVAN,3350088577,MANIZALES,3136940
2000421194,CC,LUIS,RODOLFO,DIAZ,RIVERA,KR 25 48,3574314500,MANIZALES,2624506
2348389601,CC,JORGE,ELIECER,RODRIGUEZ,BERNAL,BARCELONA KR 10 13 50,3889656277,ARMENIA,2874243
3531737730,CC,EDUCARDO,,GAONA,CRUZ,CL 15 72 A 64 S,3405175619,BOGOTA,3642522
406098754,CC,JOSE,URIEL,FRANCO,GARCIA,CL 43 33 100,3564598871,BARRANQUILLA,4618861
4260051621,CC,GERMAN,ANTONIO,BETANCURT,BLANDON,CL 16 10 67,3320188005,ZARZAL,2944132
7187772870,CC,ORLANDO,,CORDOBA,BONILLA,KR 7 32 C 4 PI 2,3829293063,PALMIRA,1524747
1251003397,CC,FRANCISCO,JAVIER,DIAZ,FIGUEROA,KR 1 A 64 A 3 APTO PI 2,3620155379,NEIVA,3176210
2453276196,CC,OSWALDO,,SOTO,FRANCO,KR 20 B 65 28,3556145905,MANIZALES,2401670
5192268143,CC,LUIS,FELIPE,GAMBOA,RODRIGUEZ,KR 20 A 61 B 57 SUR,3346393782,BOGOTA,3134389
5850679221,CC,ROBINSON,,CHACON,SOSA,CL 34 98 7,,MEDELLIN,1315170
981093154,CC,RICARDO,,RAMIREZ,FORERO,CL 41 42 66 BR EL OASIS,,RIONEGRO,4638826
1470329174,CC,FRANCISCO,HECTOR,OCHOA,DIAZ,KM 3 VIA CHIPAYA RIVERAS DE LAS MERCEDES CA 109,,JAMUNDI,4617927
1538504557,CC,GABRIEL,HERNANDO,AGUDELO,HOYOS,CL 29 A 58 A 47,,BELLO,4057998
5525592912,CC,ANDRES,IGNACIO,RODRIGUEZ,VALENCIA,KR 81 45 233 IN 302,,MEDELLIN,1894953
5360634534,CC,DENIS,FERNEY,CASTANEDA,LARGO,TV 35 SUR 30 53,3689094847,ENVIGADO,3486403
1271377467,CC,JOSE,RODOLFO,FRANCO,CASTANO,KR 30 41 23 S IN 100,3587458522,ENVIGADO,3190709
127539995,CC,GUILLERMO,,HIGUITA,PRESIGA,CL 103 84 29 DE OCTUBRE 12,3428841658,MEDELLIN,2459124
8435362724,CC,JORGE,EDUARDO,ALVAREZ,LARGO,CL 10 7 65 CE OF 302,3342571385,CHINCHINA,2177295
6428157311,CC,JHON,JAIRO,BEDOYA,ARANGO,KR 52 B 77 A 25 APTO 101,3517800379,ITAGUI,4293045
71794955,CC,SERGIO,ALEJANDRO,GARCIA,DUQUE,CL 44 73 77,3341960770,PEREIRA,4196763
1669418619,CC,DARIO,DE JESUS,AGUDELO,MESA,AUTOP NORTE KM 25,3489455186,GIRARDOTA,3092558
6144095173,CC,JHON,FERNEY,CESPEDES,HENAO,HC LA PRADERA CA LA PA,3712965835,PALESTINA,3035264
3764112417,CC,EDWIN,GILBERTO,ACEVEDO,DUQUE,CL 77 SUR TO 2 35 15 APTO 108,3864005836,SABANETA,2447254
1627902700,CC,DIDIER,ESTID,MONTOYA,HERNANDEZ,CL 104 1 10,3625856468,COPACABANA,1697289
768540546,CC,JOSE,MIGUEL,RINCON,BELLO,CL 187 19 A 17,3826282891,BOGOTA,1981981
8839692835,CC,JORGE,EDUARDO,VELEZ,ARANGO,KR 70 B 23 B 131,3787089496,MANIZALES,3519782
3557925385,CC,LUIS,FERNANDO,HOYOS,GIL,CL 20 21 24,3748463304,PEREIRA,2382429
4017816318,CC,JULIAN,ARBEY,PELAEZ,AGUDELO,KR 18 EN CL 5 B 5 A 5 A CA 18 14,3594835350,VILLAMARIA,4506249
2939132573,CC,JHON,JAIRO,VELEZ,MARIN,CL 39 A 59 CC 14,3680465352,BELLO,3037062
3144059710,CC,GERMAN,DE JESUS,MARIN,GUERRERO,CL 19 2 25,3706753160,PUERTO BOYACA,4104534
367428557,CC,ROGELIO,,VALENCIA,CIFUENTES,BR VIRGINIA MZ 24 CA 17,,ARMENIA,2914222
3680908743,CC,HECTOR,DANIEL,OCAMPO,JIMENEZ,KR 46 107 D 43,3354280707,MEDELLIN,4160524
4791092350,CC,EDUI,,VALENCIA,GRAJALES,HC EL NATAL GINEBRA VALLE,3822780974,LA TEBAIDA,3478354
3958969951,CC,ORLANDO,DE JESUS,RESTREPO,VELEZ,CL 25 58 59,3360971580,BELLO,2791123
6964792962,CC,JOSE,ALBEIRO,CARDONA,,CL 4 12 67,3748292569,LA VIRGINIA,3520416
5476247429,CC,ALFONSO,LUIS,ALZATE,CRUZ,KR 26 76 48,3600092906,PEREIRA,4298413
9456664532,CC,LUIS,MARIA,BEDOYA,PULGARIN,CL 7 26 C 1 BR JAPON,3565111471,POPAYAN,1442593
1147372898,CC,ANTONIO,,MARIN,JAIR,CL 11 22 A 28 BR JAPON,3596423438,DOSQUEBRADAS,3567786
8616961695,CC,LUIS,FERNANDO,CHICA,MEJIA,KR 12 5 77 BR OBRERO,,VITERBO,3484193
6711674175,CC,JAIME,,OSORIO,BERMUDEZ,KR 3 18 13 BELALCAZAR,3847340328,BELALCAZAR,4256645
1190406248,CC,IVAN,DE JESUS,LONDONO,OROZCO,KR 2 8 29,3536278610,BELALCAZAR,3621415
4107444138,CC,LUIS,FERNANDO,SEPULVEDA,VALENCIA,MZ E CA 23 BR LA ALAMEDA,3888830412,PEREIRA,2676491
6703034038,CC,ARNOLFO,DE JESUS,SANCHEZ,PATINO,KR 56 A 77 51 IN 201,3596108756,MEDELLIN,1363035
9459581681,CC,EDGAR,DE JESUS,HENAO,CASTANEDA,FCA EL PARAISO,3421951237,JERICO,4636361
4608189464,CC,MARIO,,PEREZ,MOLINA,CL 2 A 12 25 I ET VILLA HERMOSA,3374192639,PEREIRA,3911011
8301343992,CC,LUIS,GONZAGA,ALVAREZ,MAYA,KR 3 7 4 SEC LA BOMBA VIA MANIZALES,3747935260,MANIZALES,4362055
5253641390,CC,GILBERTO,,ZAMORA,SALAZAR,KR 8 8 65,3528917809,VILLAMARIA,4179551
5911224778,CC,JUAN,FELIPE,LLANOS,PINEDA,KR 13 10 A 154 EL MANGO,3584114132,CHINCHINA,1037149
8693407660,CC,EDWIN,JOHAN,GUTIERREZ,SEDAN,CL 5 13 BR CALDAS 2 CA PI 5,,CHINCHINA,2069146
615721114,CC,JULIAN,ANDRES,MENESES,CARDENAS,BR NVA PRIMAVERA MZ E CA 17,3513306252,CHINCHINA,4187697
4904385727,CC,URIEL,,CASTRO,JOSE,CL 12 5 5 EL CRUCERO,3578428298,VILLAMARIA,2524573
4337619798,CC,ALBERTO,,GOMEZ,CASTANO,KR 10 18,3466969409,PEREIRA,2506547
136202858,CC,JHON,JAIRO,BEDOYA,DIAZ,FCA LA GT,3498590755,JERICO,2555332
9304829264,CC,HERMAN,,CARTAGENA,FRANCO,KR 76 89 29,,MEDELLIN,2730531
5339197349,CC,GERMAN,ALONSO,PATINO,MASSO,CL 55 D 11 B 43,3758054739,MANIZALES,2933485
9130069537,CC,JORGE,ALVARO,LOAIZA,GONZALEZ,FCA LT UNO VDA AGUCATAL,3615302678,NEIRA,1416389
3764700757,CC,FERNANDO,,GARCIA,GRISALES,MZ F CA 71,3785575948,NEIRA,3872908
8296883921,CC,JOSE,NELSON,TABARES,GALVIS,KR 6 10 16 NEIVA,3467942789,NEIRA,3444409
6301533816,CC,DARIO,,SANCHEZ,HOYOS,KR 19 33 B 41 ESTRADA,3593222286,MANIZALES,1101500
7400842229,CC,GERARDO,DE JESUS,JIMENEZ,BUENO,BR CHACHAFRUTO CA 20,3867138720,MANIZALES,4447635
350836972,CC,WILMER,ANDRES,TOBON,GARCIA,CL 2 10 B 107 COLINA MEDIA,3407794728,PALESTINA,4878921
476504753,CC,JOSE,DANIEL,GAVIRIA,GALVIS,HC CUBA BR TURIN,3426619490,VILLAMARIA,1478847
3128835963,CC,JOSE,SEIR,RIVILLAS,,KR 21 74 143,3851086686,MANIZALES,1157628
3153775490,CC,URIEL,,CARMONA,RODRIGUEZ,KR 19 1 F 36,,BOGOTA,4869112
2155615346,CC,BERNARDO,,BONILLA,FRANCO,KR 26 25 18,,MANIZALES,3377963
6311395231,CC,RUBIAN,,OROZCO,GOMEZ,CL 11 B 10 20 BR POPULAR,,VILLAMARIA,1856603
7123951707,CC,DIEGO,ANDRES,MARIN,BEDOYA,KR 8 40 13 CE,,PEREIRA,3818078
8980836054,CC,JOHN,ALEXANDER,GALVEZ,LOPEZ,KM 14 VIA PEREIRA CEERITOS,,PEREIRA,3125537
7461846257,CC,EDILBERTO,,LONDONO,TABARES,CL 160 14 C 31 GALICIA,3662579464,PEREIRA,3060350
2875681394,CC,YURIAN,,GRANADOS,TAMAYO,KR 13 51 42,3892493779,DOSQUEBRADAS,1649773
9815804470,CC,ANDRES,FELIPE,BETANCUR,VELASCO,CL 16 29 A 142,3626956050,CALI,3100234
2649162149,CC,JORGE,MARIO,GARCIA,VELEZ,CL 18 BIS 30 57,3392559484,PEREIRA,4767788
9827467372,CC,JOSE,LUIS,DORIA,MEDINA,BR ALTO LLANO GRANJA MZ 3 CA 7,3451464703,PEREIRA,4506135
9547188978,CC,FABIO,ALEJANDRO,QUINTERO,MARIN,BR POBLADO 1 MZ H CA 15,3426158161,PEREIRA,1474621
1608311982,CC,ANDRES,FELIPE,ORREGO,OCAMPO,CL 13 13 33,3340677767,PEREIRA,2539289
